2026-06-29 23:19:55,605 | INFO | Proyecto iniciado
2026-06-29 23:36:54,003 | INFO | ========================================
2026-06-29 23:36:54,004 | INFO | JOB HUNTER AI
2026-06-29 23:36:54,005 | INFO | ========================================
2026-06-29 23:36:54,006 | INFO | Ciudades objetivo: ['Cali', 'Palmira', 'Cerrito', 'Jamundí', 'Remoto']
2026-06-29 23:36:54,006 | INFO | Salario mínimo: $3,000,000
2026-06-29 23:36:54,007 | INFO | Sistema iniciado correctamente.
2026-06-29 23:37:52,555 | INFO | ========================================
2026-06-29 23:37:52,556 | INFO | JOB HUNTER AI
2026-06-29 23:37:52,557 | INFO | ========================================
2026-06-29 23:37:52,557 | INFO | Ciudades objetivo: ['Cali', 'Palmira', 'Cerrito', 'Jamundí', 'Remoto']
2026-06-29 23:37:52,558 | INFO | Salario mínimo: $3,000,000
2026-06-29 23:37:52,558 | INFO | Sistema iniciado correctamente.
